"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","918","User login with wrong email and password","User Management","Tue Sep 16 08:48:03 UTC 2025","passed","Tue Sep 16 08:48:04 UTC 2025","Failed authorization","Authorization","",""
"","2884","Check the visibility of all product cards from the list","Product Catalog","Tue Sep 16 08:48:24 UTC 2025","passed","Tue Sep 16 08:48:27 UTC 2025","View product list","Product Listing","",""
"","2905","Correct logout of account","User Management","Tue Sep 16 08:47:58 UTC 2025","passed","Tue Sep 16 08:48:01 UTC 2025","Successful logout","Logout","",""
"","8254","Login before checkout with products with id: [1, 2]","Order Processing","Tue Sep 16 08:48:50 UTC 2025","passed","Tue Sep 16 08:48:59 UTC 2025","TestCheckout","Checkout","",""
"","33866","Registration while checkout with products with id: [1, 2]","Order Processing","Tue Sep 16 08:48:09 UTC 2025","broken","Tue Sep 16 08:48:42 UTC 2025","TestCheckout","Checkout","",""
"","3558","Search products with a search query: ""top""","Product Catalog","Tue Sep 16 08:48:27 UTC 2025","passed","Tue Sep 16 08:48:31 UTC 2025","TestProductSearch","Product Search","",""
"","2420","Check product details with id 1","Product Catalog","Tue Sep 16 08:48:24 UTC 2025","passed","Tue Sep 16 08:48:26 UTC 2025","View product details","Product Details","",""
"","3622","Checking adding products to the cart with an id: {added_product_ids} and quantity: 3","Shopping cart","Tue Sep 16 08:48:04 UTC 2025","passed","Tue Sep 16 08:48:08 UTC 2025","Add product","Cart operations","",""
"","3476","Checking remove product from cart","Shopping cart","Tue Sep 16 08:48:09 UTC 2025","passed","Tue Sep 16 08:48:13 UTC 2025","Remove product","Cart operations","",""
"","1698","Check the correct operation of the scroll to the top of the page","Navigation","Tue Sep 16 08:48:22 UTC 2025","passed","Tue Sep 16 08:48:23 UTC 2025","Scroll to top","Scroll","",""
"","1806","Checking the success of sending a feedback","interactions","Tue Sep 16 08:48:18 UTC 2025","passed","Tue Sep 16 08:48:20 UTC 2025","Successful feedback","Contact","",""
"","3065","User login with correct email and password","User Management","Tue Sep 16 08:47:58 UTC 2025","passed","Tue Sep 16 08:48:01 UTC 2025","Successful authorization","Authorization","",""
"","6561","Checking the identity of the cart before and after logging","Shopping cart","Tue Sep 16 08:48:04 UTC 2025","passed","Tue Sep 16 08:48:11 UTC 2025","Cart consistent","Cart State","",""
"","5143","Checkout with products with id: [1, 2]","Order Processing","Tue Sep 16 08:48:12 UTC 2025","passed","Tue Sep 16 08:48:17 UTC 2025","Successful checkout","Checkout","",""
"","5670","Registration with correct data","User Management","Tue Sep 16 08:48:02 UTC 2025","passed","Tue Sep 16 08:48:08 UTC 2025","Successful registration","Registration","",""
"","1203","Checking event subscriptions on the home page","interactions","Tue Sep 16 08:48:22 UTC 2025","passed","Tue Sep 16 08:48:23 UTC 2025","Home subscription","Subscription","",""
"","1069","Registration with existing email","User Management","Tue Sep 16 08:47:58 UTC 2025","passed","Tue Sep 16 08:47:59 UTC 2025","Failed registration","Registration","",""
"","6328","Checking the download invoice after checkout with products with an id: [1, 5]","Order Processing","Tue Sep 16 08:48:14 UTC 2025","passed","Tue Sep 16 08:48:20 UTC 2025","TestCheckout","Checkout","",""
"","3475","Checking adding products to the cart with an id: [1, 2]","Shopping cart","Tue Sep 16 08:48:00 UTC 2025","passed","Tue Sep 16 08:48:03 UTC 2025","Add product","Cart operations","",""
"","1939","Adding a review to a product with an id 1","Product Catalog","Tue Sep 16 08:48:27 UTC 2025","passed","Tue Sep 16 08:48:29 UTC 2025","Add product review","Product Review","",""
"","658","Checking event subscriptions on the cart page","interactions","Tue Sep 16 08:48:21 UTC 2025","passed","Tue Sep 16 08:48:21 UTC 2025","Cart subscription","Subscription","",""
